2,1,6,1,5,5,3,5,2,4,4,2,6,1,6,2,3,3,5,4,6,1,3,4,29
2,6,2,3,1,1,6,1,4,4,3,4,4,6,2,3,5,3,5,1,2,5,5,6,30
5,6,5,4,5,6,1,3,4,3,6,3,2,4,5,3,1,1,2,4,6,2,2,1,6
5,1,5,1,2,4,2,6,5,3,4,3,6,4,6,6,1,5,2,4,3,2,3,1,7
2,1,5,2,5,6,2,5,1,6,2,1,6,1,5,6,3,3,4,4,3,4,3,4,8
4,6,5,2,3,3,6,4,1,2,1,4,1,2,3,4,5,5,6,3,1,5,6,2,9
6,2,3,2,1,5,4,4,1,4,6,6,3,3,3,2,4,5,2,5,5,1,6,1,10
3,3,6,1,2,5,3,5,1,2,2,2,6,3,4,1,4,6,5,1,5,4,6,4,11
5,4,3,2,6,6,5,4,3,1,1,6,1,4,5,4,2,2,3,6,2,5,3,1,12
6,5,5,3,6,6,5,3,4,4,5,1,4,2,1,2,1,3,2,2,3,1,6,4,13
2,3,4,1,4,5,4,3,4,5,5,5,2,6,6,6,2,1,3,6,2,1,3,1,14
5,2,1,3,4,6,5,6,3,4,3,6,4,5,2,3,2,2,1,6,1,1,5,4,15
5,4,3,2,1,3,1,1,5,4,3,2,6,6,4,6,2,3,1,2,4,5,5,6,16
5,6,4,3,4,5,1,5,4,3,4,6,1,6,6,5,2,1,2,3,3,1,2,2,17
4,1,4,2,6,3,1,5,5,1,2,6,6,3,3,5,2,1,5,4,3,4,6,2,18
6,3,4,6,4,4,5,5,2,3,3,6,2,1,1,3,5,5,1,6,1,2,4,2,19
6,5,3,1,6,5,3,5,2,4,2,2,1,1,6,1,3,4,2,4,5,4,3,6,20
3,2,2,5,6,5,3,5,1,1,3,4,6,1,2,1,4,4,6,3,5,2,4,6,21
1,5,3,3,4,1,3,4,6,3,5,6,1,2,6,5,4,6,5,4,2,2,2,1,22
4,6,2,3,2,5,2,1,2,1,6,6,4,4,5,4,3,5,5,1,6,3,1,3,23
3,5,1,4,2,1,6,4,4,5,6,3,2,6,5,3,5,4,1,3,2,1,2,6,24
1,4,4,3,5,5,6,6,3,5,2,6,1,2,2,1,1,4,4,6,3,3,5,2,26
3,4,2,3,2,1,5,2,4,6,4,4,1,5,1,3,5,3,2,6,1,5,6,6,27
4,2,6,3,6,5,2,1,3,5,5,3,3,1,1,4,1,4,2,5,6,4,6,2,28
2,6,6,4,3,1,4,3,4,4,2,1,3,5,6,6,5,1,5,2,2,5,1,3,29
2,6,4,1,4,4,2,1,2,5,4,5,1,2,3,6,5,6,3,3,3,6,5,1,30
6,1,5,4,5,6,5,3,3,4,5,2,3,4,6,4,2,1,2,6,2,1,1,3,4
